rank	node	node_type	visit_count	visit_prob	degree	gat_hub_score
1	ERG	gene	116501043	0.0639729	4279	0.46141778
2	BRD4	gene	3502632	0.00192336	1571	0.03075467
3	RECQL4	gene	3089298	0.00169639	1395	0.03364288
4	NR2C2	gene	2963757	0.00162745	1371	0.03106162
5	NR3C1	gene	2859929	0.00157044	999	0.07627644
6	UBB	gene	2825963	0.00155179	1077	0.04460486
7	GNB1	gene	2766402	0.00151908	603	0.13588619
8	HSP90AA1	gene	2734161	0.00150138	1055	0.04326785
9	CANX	gene	2718223	0.00149263	892	0.07743344
10	GRB2	gene	2580459	0.00141698	836	0.06753238
11	TNIP2	gene	2318897	0.00127335	916	0.06265766
12	HDAC1	gene	2317203	0.00127242	871	0.04662743
13	EP300	gene	2236562	0.00122814	878	0.03886238
14	PHB	gene	2046445	0.00112374	977	0.02521623
15	CAPZB	gene	2005539	0.00110128	943	0.03092709
16	ARID4B	gene	1939611	0.00106508	519	0.12322364
17	BAG3	gene	1920062	0.00105434	590	0.09150115
18	ARID4A	gene	1866003	0.00102466	479	0.13241735
19	VIRMA	gene	1838542	0.00100958	843	0.01052155
20	MAPT	gene	1814252	0.00099624	743	0.0416965
21	RPS20	gene	1741053	0.00095604	809	0.03231167
22	NEK4	gene	1692770	0.00092953	555	0.08239317
23	PPP1CA	gene	1647670	0.00090477	583	0.06445816
24	WWP2	gene	1645603	0.00090363	763	0.02859775
25	GSK3B	gene	1626314	0.00089304	649	0.04213732
26	CHMP4B	gene	1582282	0.00086886	667	0.03934367
27	CSNK2A1	gene	1581966	0.00086869	677	0.0369624
28	AURKB	gene	1574298	0.00086448	686	0.04022646
29	ALB	gene	1540831	0.0008461	399	0.11358788
30	PLEKHA7	gene	1528385	0.00083926	637	0.03749551
31	PLEKHA4	gene	1489673	0.00081801	720	0.0081097
32	NUPR1	gene	1474828	0.00080986	687	0.0274385
33	CALM1	gene	1457866	0.00080054	543	0.04657477
34	ERBB2	gene	1438609	0.00078997	649	0.07493024
35	MRPS12	gene	1432450	0.00078659	684	0.03299521
36	HNRNPU	gene	1430893	0.00078573	710	0.02687813
37	RELA	gene	1426980	0.00078358	562	0.04118985
38	MRPL13	gene	1415487	0.00077727	703	0.0278535
39	POLR2B	gene	1390636	0.00076362	626	0.02897622
40	CCNF	gene	1376966	0.00075612	646	0.02902282
41	TP53BP1	gene	1372935	0.0007539	529	0.04338983
42	CLPP	gene	1349895	0.00074125	527	0.05606247
43	RC3H1	gene	1344110	0.00073808	660	0.02375029
44	CREBBP	gene	1317549	0.00072349	606	0.03209629
45	NDUFAB1	gene	1316920	0.00072315	508	0.05350785
46	GNG13	gene	1314697	0.00072192	200	0.228614
47	COPS5	gene	1310157	0.00071943	532	0.03742827
48	USP7	gene	1288115	0.00070733	512	0.04334056
49	STUB1	gene	1288104	0.00070732	482	0.04771107
50	HRAS	gene	1280561	0.00070318	746	0.03152446
51	UBE2M	gene	1280267	0.00070302	583	0.02699967
52	RHOU	gene	1274146	0.00069966	369	0.10288506
53	DHX9	gene	1273324	0.00069921	595	0.02448964
54	ARRB2	gene	1267826	0.00069619	380	0.07479862
55	IMP3	gene	1261633	0.00069279	595	0.03274384
56	YTHDC1	gene	1260929	0.0006924	328	0.12809081
57	MRPS15	gene	1254961	0.00068912	646	0.02338848
58	MRPS7	gene	1254392	0.00068881	653	0.0208983
59	MRPS11	gene	1245136	0.00068373	633	0.02291334
60	ITGB1	gene	1241734	0.00068186	405	0.05580934
61	HDAC2	gene	1225813	0.00067312	626	0.02296778
62	HUWE1	gene	1225262	0.00067281	573	0.02737962
63	SMAD3	gene	1220838	0.00067038	440	0.04573149
64	MYH9	gene	1209969	0.00066442	489	0.03880225
65	RBBP4	gene	1205669	0.00066206	516	0.02841897
66	ARRB1	gene	1199260	0.00065854	380	0.06020512
67	GNB2	gene	1180159	0.00064805	409	0.05937789
68	POLR2E	gene	1171622	0.00064336	503	0.0283853
