rank	node	node_type	visit_count	visit_prob	degree	gat_hub_score	prad_annotation
1	GNB1	gene	1856208	0.00103237	2410	0.03913026	
2	ERBB2	gene	1550179	0.00086217	2688	0.02876719	[PRAD target] HER2 receptor tyrosine kinase; amplified/mutated in ~8% mCRPC; Drugs: trastuzumab (Herceptin), pertuzumab (Perjeta), trastuzumab deruxtecan (T-DXd, Enhertu), lapatinib (Tykerb), tucatinib (Tukysa), neratinib (Nerlynx); clinical trials in HER2+ mCRPC ongoing
3	HRAS	gene	1517983	0.00084426	3053	0.02244302	[PRAD target] RAS oncogene; rare in PRAD; Drugs: tipifarnib (Zarnestra) [farnesyltransferase inhibitor] for HRAS-mutant
4	CANX	gene	1428260	0.00079436	2766	0.02515387	
5	ARID4A	gene	1394121	0.00077537	3062	0.01974424	
6	ARID4B	gene	1360774	0.00075683	2879	0.02165946	
7	TNIP2	gene	1337678	0.00074398	3301	0.01701261	
8	UBB	gene	1328082	0.00073864	3518	0.01295536	
9	NR2C2	gene	1327651	0.0007384	3873	0.01099415	
10	BRD4	gene	1308748	0.00072789	3441	0.01396889	(ergPRAD) BET bromodomain protein; regulates ERG, MYC, AR super-enhancers in ergPRAD; Drugs: JQ1 (tool compound) [BETi]; OTX015 (birabresib); ABBV-075 (mivebresib); PLX51107; ABBV-744 [BD2-selective]; clinical trials in mCRPC/ergPRAD
11	UBC	gene	1229047	0.00068356	2694	0.01850366	
12	NEK4	gene	1163072	0.00064687	2612	0.01913435	
13	EP300	gene	1143075	0.00063575	3347	0.00997821	
14	PPP1CA	gene	1142277	0.0006353	3116	0.01256464	
15	HDAC1	gene	1057016	0.00058788	2370	0.01666558	[PRAD target] Histone deacetylase 1; AR corepressor complex; upregulated in CRPC; ERG-HDAC1 interaction in ergPRAD; Drugs: vorinostat (Zolinza), romidepsin (Istodax) [pan-HDACi]; entinostat, mocetinostat [HDAC1/2-selective]; panobinostat (Farydak); clinical trials in mCRPC
16	GRB2	gene	1025094	0.00057013	1053	0.05162062	
17	PHB	gene	1021497	0.00056813	3377	0.0081183	
18	RECQL4	gene	1019350	0.00056694	1748	0.02791498	
19	YTHDC1	gene	1018683	0.00056656	2411	0.01776649	
20	GSK3B	gene	1014591	0.00056429	3116	0.00964535	
21	CREBBP	gene	1008619	0.00056097	2983	0.01049355	
22	CHMP4B	gene	1008017	0.00056063	3223	0.00851651	
23	CAPZB	gene	1000491	0.00055645	3270	0.00947881	
24	HSP90AA1	gene	996844	0.00055442	1271	0.03908113	
25	RPS20	gene	965405	0.00053693	3049	0.00926284	
26	IMP3	gene	938664	0.00052206	3313	0.00655726	
27	TP53BP1	gene	931533	0.00051809	3108	0.00775897	
28	CLPP	gene	928491	0.0005164	2876	0.0102814	
29	BAG3	gene	907358	0.00050465	733	0.07148993	
30	MRPS12	gene	902957	0.0005022	3019	0.00809639	
31	AKT1	gene	896197	0.00049844	1358	0.03263639	[PRAD target] AKT serine/threonine kinase; central PI3K effector; Drugs: ipatasertib (Roche, FDA-approved context), capivasertib (AZD5363, AstraZeneca); clinical trials in mCRPC
32	ITGB1	gene	885667	0.00049258	2887	0.00818958	
33	CSNK2A1	gene	883278	0.00049126	2786	0.00992499	
34	STUB1	gene	881806	0.00049044	2807	0.00847869	
35	PLEKHA7	gene	876530	0.0004875	2790	0.00922492	
36	ATM	gene	873115	0.0004856	2770	0.00922624	[PRAD target] HRR/DSB repair kinase; mutations in ~7% mCRPC; Drugs: olaparib (ATM included in FDA label), AZD0156, AZD1390 [ATM inhibitors, clinical trials]
37	NDUFAB1	gene	855747	0.00047594	2835	0.00822392	
38	ITSN2	gene	842321	0.00046848	2892	0.00682523	
39	PARP1	gene	836543	0.00046526	2729	0.00908689	[PRAD target] Poly(ADP-ribose) polymerase 1; BER/SSBR; direct PARP inhibitor target; Drugs: olaparib (Lynparza), rucaparib (Rubraca), niraparib (Zejula), talazoparib (Talzenna) [FDA-approved mCRPC+HRR]
40	ERG	gene	831344	0.00046237	3916	0.0016459	(ergPRAD) ETS transcription factor; TMPRSS2-ERG fusion driver ~50% PRAD; transcriptional target in ergPRAD; Drugs: indirect via BET inhibitors (JQ1, OTX015, ABBV-744), EZH2 inhibitors (tazemetostat, GSK126)
41	UBQLN2	gene	829531	0.00046136	2865	0.0079571	
42	TJP1	gene	828207	0.00046063	2952	0.00669625	
43	TAF1	gene	824044	0.00045831	3066	0.00541867	
44	SIN3A	gene	815524	0.00045357	2959	0.00601147	
45	UBE2M	gene	814998	0.00045328	2968	0.00584286	
46	DYRK1A	gene	811412	0.00045129	2793	0.00762241	
47	NUPR1	gene	810209	0.00045062	2898	0.00695297	
48	GNG13	gene	807711	0.00044923	669	0.06675138	
49	LRP1	gene	806205	0.00044839	3095	0.00530624	
50	MYH9	gene	805208	0.00044784	2762	0.00783887	
51	CREB1	gene	804943	0.00044769	2824	0.00659213	
52	MRPS11	gene	804886	0.00044766	3056	0.00529974	
53	NDUFS8	gene	804311	0.00044734	2812	0.00703393	
54	POLR2B	gene	802071	0.00044609	2924	0.00632904	
55	HERC2	gene	801089	0.00044554	2908	0.00625937	
56	SMARCA5	gene	800431	0.00044518	3345	0.00290859	
57	RBBP4	gene	799104	0.00044444	2959	0.00559191	
58	ITSN1	gene	799072	0.00044442	2693	0.0076918	
59	GABARAP	gene	799070	0.00044442	2797	0.00706084	
60	HUWE1	gene	797732	0.00044368	2971	0.00578489	
61	GNA13	gene	793519	0.00044133	2809	0.00635027	
62	BRD3	gene	792669	0.00044086	2724	0.00809418	(ergPRAD) BET bromodomain; cooperates with ERG in ergPRAD; Drugs: JQ1, OTX015, birabresib [BET inhibitors]
63	RC3H1	gene	789095	0.00043887	2992	0.00580722	
64	USP7	gene	788496	0.00043854	2544	0.00933993	
65	MRPL43	gene	787823	0.00043817	3156	0.00409082	
66	SMAD2	gene	784485	0.00043631	2870	0.00609777	
67	CASK	gene	779551	0.00043357	2388	0.0110072	
68	ABL1	gene	779096	0.00043331	2450	0.00958026	[PRAD target] ABL tyrosine kinase; activated in CRPC; Drugs: dasatinib (Sprycel), imatinib (Gleevec), bosutinib (Bosulif), ponatinib (Iclusig)
69	PLCG1	gene	778828	0.00043316	2627	0.00709504	
70	NAA40	gene	778671	0.00043308	1908	0.018169	
71	ARRB2	gene	778266	0.00043285	2034	0.01416202	
72	SMAD3	gene	775368	0.00043124	2476	0.00882348	
73	MAPK8	gene	775120	0.0004311	2931	0.00511885	
74	HDAC2	gene	774320	0.00043066	2101	0.01273653	[PRAD target] Histone deacetylase 2; AR corepressor regulation; Drugs: vorinostat (Zolinza) [pan-HDACi]; romidepsin (Istodax); entinostat [HDAC1/2i]; panobinostat (Farydak); clinical trials in mCRPC in combination
75	SYNCRIP	gene	771704	0.0004292	3147	0.00444882	
76	DDX3X	gene	771138	0.00042889	3062	0.004371	
77	METTL14	gene	769980	0.00042824	2793	0.00603076	
78	PALB2	gene	769417	0.00042793	2564	0.0087561	[PRAD target] BRCA2 partner; HRR; mutations sensitize to PARP inhibitors; Drugs: olaparib, rucaparib [PARP inhibitors per label]
79	DDRGK1	gene	768786	0.00042758	2753	0.00728846	
80	MAP3K7	gene	767470	0.00042685	3022	0.00431444	
81	KRT18	gene	766891	0.00042652	2731	0.00651419	
82	DHX9	gene	765444	0.00042572	2885	0.00559887	
83	PBRM1	gene	765401	0.0004257	2855	0.00533535	
84	BSG	gene	763215	0.00042448	2782	0.00607572	
85	OTUB1	gene	760645	0.00042305	2871	0.00508185	
86	ATRX	gene	760442	0.00042294	2831	0.00543603	
87	IGF1R	gene	757963	0.00042156	2482	0.00929284	[PRAD target] IGF-1 receptor; promotes AR-independent CRPC growth; Drugs: linsitinib (OSI-906) [IGF1Ri]; cixutumumab [anti-IGF1R mAb]; clinical trials in mCRPC (limited efficacy as monotherapy)
88	PIH1D1	gene	757948	0.00042155	2838	0.00562338	
89	MRPS7	gene	757548	0.00042133	2914	0.00543219	
90	SORL1	gene	756976	0.00042101	3001	0.00482548	
91	STX6	gene	756729	0.00042087	3083	0.00396102	
92	CDC34	gene	756003	0.00042047	2953	0.00433345	
93	EIF6	gene	755523	0.0004202	2832	0.00518121	
94	HDAC4	gene	753661	0.00041917	3234	0.00343761	
95	AURKB	gene	751207	0.0004178	1469	0.02279527	[PRAD target] Aurora kinase B; mitotic checkpoint; Drugs: AZD1152 (barasertib) [AURKBi]; danusertib; PRAD trials
96	HSPBP1	gene	748199	0.00041613	2853	0.00524138	
97	TOP1	gene	748010	0.00041602	2879	0.00556609	
98	POLR2E	gene	745652	0.00041471	2826	0.00500779	
99	NEDD8	gene	744957	0.00041433	2866	0.00474942	
100	GOPC	gene	744518	0.00041408	2650	0.0069872	
101	KDM6A	gene	738379	0.00041067	2933	0.00455671	[PRAD target] UTX H3K27 demethylase; tumor suppressor; mutations in mCRPC; Drugs: EZH2 inhibitors (tazemetostat) as synthetic lethal in KDM6A-null
102	POLR1C	gene	738203	0.00041057	2809	0.00584613	
103	PTPN6	gene	736853	0.00040982	2368	0.00918761	
104	CLTA	gene	735592	0.00040912	2766	0.00516457	
105	MAPT	gene	734120	0.0004083	1476	0.02184005	
106	MRPL13	gene	733775	0.00040811	2465	0.00880002	
107	LAMC1	gene	733179	0.00040777	3225	0.00278465	
108	KDM5B	gene	731520	0.00040685	2858	0.00458972	
109	WWP2	gene	730118	0.00040607	2192	0.01056831	
