rank	node	node_type	visit_count	visit_prob	degree
1	ERG	gene	22999869	0.01262966	4279
2	BRD4	gene	3839050	0.00210809	1571
3	UBB	gene	3452363	0.00189576	1077
4	GNB1	gene	3370620	0.00185087	603
5	RECQL4	gene	3212670	0.00176414	1395
6	HSP90AA1	gene	3202376	0.00175848	1055
7	NR2C2	gene	3042847	0.00167088	1371
8	GRB2	gene	3007384	0.00165141	836
9	HDAC1	gene	2770647	0.00152141	871
10	EP300	gene	2723617	0.00149559	878
11	CANX	gene	2594901	0.00142491	892
12	NR3C1	gene	2549841	0.00140017	999
13	ERBB2	gene	2530225	0.00138939	649
14	HRAS	gene	2359871	0.00129585	746
15	PHB	gene	2161659	0.00118701	977
16	VIRMA	gene	2122601	0.00116556	843
17	CREBBP	gene	1967510	0.0010804	606
18	MAPT	gene	1963605	0.00107825	743
19	BAG3	gene	1959913	0.00107622	590
20	RPS20	gene	1947674	0.0010695	809
21	TNIP2	gene	1936301	0.00106326	916
22	HDAC2	gene	1933660	0.00106181	626
23	CAPZB	gene	1907848	0.00104763	943
24	AURKB	gene	1784175	0.00097972	686
25	WWP2	gene	1760515	0.00096673	763
26	GSK3B	gene	1730138	0.00095005	649
27	PPP1CA	gene	1720713	0.00094488	583
28	NEK4	gene	1717133	0.00094291	555
29	ARID4B	gene	1716543	0.00094259	519
30	CHMP4B	gene	1680558	0.00092283	667
31	CSNK2A1	gene	1649698	0.00090588	677
32	TP53BP1	gene	1635315	0.00089798	529
33	ARID4A	gene	1624734	0.00089217	479
34	CALM1	gene	1610367	0.00088428	543
35	ALB	gene	1609139	0.00088361	399
36	RELA	gene	1608747	0.00088339	562
37	PLEKHA7	gene	1605725	0.00088173	637
38	PLEKHA4	gene	1602217	0.00087981	720
39	POLR2B	gene	1591038	0.00087367	626
40	PARP1	gene	1560965	0.00085716	611
41	CDH1	gene	1550095	0.00085119	446
42	NUPR1	gene	1520307	0.00083483	687
43	MRPS12	gene	1518442	0.0008338	684
44	MRPL13	gene	1509113	0.00082868	703
45	ARRB2	gene	1483214	0.00081446	380
46	SMAD3	gene	1468879	0.00080659	440
47	ITGB1	gene	1467567	0.00080587	405
48	ARRB1	gene	1463220	0.00080348	380
49	STUB1	gene	1455624	0.00079931	482
50	POLR2E	gene	1439979	0.00079072	503
51	GNG13	gene	1437595	0.00078941	200
52	HNRNPU	gene	1436123	0.0007886	710
53	RC3H1	gene	1435212	0.0007881	660
54	DHX9	gene	1431686	0.00078617	595
55	COPS5	gene	1430864	0.00078571	532
56	RBBP4	gene	1429843	0.00078515	516
57	TRIM28	gene	1425646	0.00078285	371
58	NDUFAB1	gene	1417007	0.0007781	508
59	USP7	gene	1381960	0.00075886	512
60	MRPS11	gene	1381817	0.00075878	633
61	UBE2M	gene	1371127	0.00075291	583
62	MRPS7	gene	1369254	0.00075188	653
63	MRPS15	gene	1355002	0.00074406	646
64	IMP3	gene	1351168	0.00074195	595
65	CCNF	gene	1347104	0.00073972	646
66	ATM	gene	1340384	0.00073603	413
67	HNRNPL	gene	1295714	0.0007115	485
68	CDC73	gene	1294018	0.00071057	504
69	MYH9	gene	1282860	0.00070444	489
70	KDM1A	gene	1282127	0.00070404	426
71	HUWE1	gene	1279741	0.00070273	573
72	RBBP7	gene	1273146	0.00069911	445
73	YTHDC1	gene	1253493	0.00068832	328
74	GNB2	gene	1240197	0.00068102	409
75	AKIRIN2	gene	1227100	0.00067382	544
76	XRCC5	gene	1224441	0.00067236	459
77	EIF4A3	gene	1219260	0.00066952	458
78	PLCG1	gene	1214672	0.000667	341
79	TP53	gene	1208626	0.00066368	476
80	H4C6	gene	1201167	0.00065958	466
81	TJP1	gene	1199764	0.00065881	343
82	SIN3A	gene	1198731	0.00065825	392
83	MRPL11	gene	1196111	0.00065681	568
84	CLPP	gene	1187500	0.00065208	527
85	MRPL17	gene	1183836	0.00065007	520
86	PALB2	gene	1182327	0.00064924	442
87	GABARAPL2	gene	1180672	0.00064833	501
88	ABL1	gene	1173149	0.0006442	343
89	RHOU	gene	1168113	0.00064143	369
90	RB1	gene	1167412	0.00064105	377
91	BRD3	gene	1148320	0.00063056	476
92	SF3B1	gene	1145496	0.00062901	428
93	POLR2G	gene	1139829	0.0006259	394
94	GABARAP	gene	1130586	0.00062083	468
95	DYRK1A	gene	1128064	0.00061944	418
96	MRPS2	gene	1123024	0.00061667	554
97	MAPK8	gene	1109551	0.00060928	447
98	NEDD8	gene	1103463	0.00060593	434
99	HNRNPK	gene	1103023	0.00060569	433
100	ITSN1	gene	1093630	0.00060053	334
101	UBL4A	gene	1093028	0.0006002	502
102	SMAD2	gene	1084115	0.00059531	348
103	APOE	gene	1080119	0.00059311	291
104	BRD2	gene	1078559	0.00059226	400
105	MAP1LC3B	gene	1072190	0.00058876	451
106	NDUFS8	gene	1071370	0.00058831	401
107	HERC2	gene	1060637	0.00058242	408
108	POLR1C	gene	1058196	0.00058108	500
109	NCOR2	gene	1042458	0.00057243	356
110	PRPF19	gene	1039174	0.00057063	399
111	GNB5	gene	1037712	0.00056983	284
112	NCK1	gene	1036997	0.00056943	305
113	PPP1CB	gene	1036931	0.0005694	403
114	UBQLN2	gene	1035803	0.00056878	499
115	ACTR5	gene	1032928	0.0005672	249
116	ITSN2	gene	1030495	0.00056586	324
117	OTUB1	gene	1029707	0.00056543	413
118	MRPL21	gene	1028865	0.00056497	457
119	CDC37	gene	1026402	0.00056362	382
120	IGF1R	gene	1025503	0.00056312	286
121	LNX1	gene	1023784	0.00056218	332
122	CCND1	gene	1016317	0.00055808	381
123	MRPL43	gene	1014291	0.00055697	443
124	CLTA	gene	1010538	0.00055491	356
125	TUFM	gene	1009751	0.00055447	436
126	TOP1	gene	1000366	0.00054932	505
127	TLN1	gene	997296	0.00054763	303
128	EIF6	gene	995744	0.00054678	392
129	TAF1	gene	995274	0.00054652	316
130	SNRNP200	gene	995078	0.00054642	372
131	TUBA1B	gene	994163	0.00054591	358
132	PIH1D1	gene	991272	0.00054433	470
133	LCK	gene	981449	0.00053893	291
134	LRRK2	gene	980654	0.0005385	426
135	RNF2	gene	974680	0.00053521	326
136	METTL14	gene	969816	0.00053254	395
137	RANBP2	gene	969007	0.0005321	380
138	SYNCRIP	gene	968622	0.00053189	461
139	RAD51	gene	963178	0.0005289	316
140	TRRAP	gene	962948	0.00052877	344
141	CREB1	gene	959775	0.00052703	309
142	DDX3X	gene	956407	0.00052518	416
143	SUZ12	gene	951840	0.00052267	347
144	ITGB3	gene	948481	0.00052083	242
145	CUL4B	gene	946730	0.00051987	325
146	GNAI2	gene	946264	0.00051961	244
147	VAPB	gene	940581	0.00051649	305
148	RSAD1	gene	938186	0.00051518	477
149	PXN	gene	937816	0.00051497	296
150	ICAM1	gene	926701	0.00050887	269
151	MRPL46	gene	924153	0.00050747	404
152	RNF4	gene	922026	0.0005063	359
153	C1QBP	gene	913719	0.00050174	396
154	HSPA2	gene	911687	0.00050062	301
155	HSPBP1	gene	911125	0.00050032	462
156	MAP3K7	gene	906921	0.00049801	305
157	RAB11A	gene	905141	0.00049703	302
158	PTPN6	gene	904473	0.00049666	219
159	SF3A1	gene	899860	0.00049413	354
160	MRPL32	gene	898838	0.00049357	399
161	CASK	gene	892557	0.00049012	275
162	MYC	gene	890294	0.00048888	461
163	NOTCH1	gene	887848	0.00048753	266
164	MRPL36	gene	886702	0.0004869	387
165	DDX6	gene	883605	0.0004852	410
166	CDC34	gene	883281	0.00048503	366
167	CTCF	gene	879580	0.00048299	402
168	HMGN1	gene	877946	0.0004821	480
169	DVL2	gene	876932	0.00048154	274
170	WDR77	gene	876028	0.00048104	375
171	MED14	gene	874332	0.00048011	285
172	COX4I1	gene	872838	0.00047929	320
173	TAF4	gene	871716	0.00047868	271
174	KIF14	gene	870412	0.00047796	384
175	EGFR	gene	866830	0.00047599	303
176	MRPL33	gene	864539	0.00047473	373
177	MRPL12	gene	863412	0.00047412	359
178	GTF2B	gene	863117	0.00047395	291
179	HSPB1	gene	859852	0.00047216	331
180	VAMP2	gene	859284	0.00047185	235
181	NONO	gene	855885	0.00046998	365
182	HDAC4	gene	853521	0.00046868	309
183	RPS27A	gene	849460	0.00046645	301
184	DDRGK1	gene	849276	0.00046635	464
185	ATF2	gene	848461	0.00046591	341
186	BSG	gene	846956	0.00046508	283
187	SP1	gene	845824	0.00046446	302
188	FANCE	gene	838699	0.00046055	362
189	CDKN1A	gene	838334	0.00046034	307
190	MYO1C	gene	832909	0.00045737	292
191	NDUFV1	gene	830632	0.00045612	329
192	SMARCA5	gene	825868	0.0004535	337
193	MRPL41	gene	821360	0.00045102	367
194	MAVS	gene	818206	0.00044929	251
195	MSN	gene	817200	0.00044874	277
196	CDK6	gene	813812	0.00044688	301
197	SCARB2	gene	808049	0.00044371	272
198	SPTBN1	gene	803335	0.00044113	292
199	FAF2	gene	802502	0.00044067	315
200	KRR1	gene	800093	0.00043935	323
201	SOX2	gene	798533	0.00043849	346
202	BRD1	gene	798417	0.00043843	341
203	TRAP1	gene	792944	0.00043542	388
204	CDC42	gene	792390	0.00043512	326
205	FLT3	gene	789407	0.00043348	116
206	EIF4A1	gene	789223	0.00043338	317
207	NMRAL1	gene	787336	0.00043234	336
208	HNRNPH1	gene	785044	0.00043108	304
209	NDUFA9	gene	784679	0.00043088	309
210	MATR3	gene	784027	0.00043052	357
211	CAPZA1	gene	784000	0.00043051	267
212	XIAP	gene	781516	0.00042915	249
213	MRPL15	gene	775778	0.00042599	384
214	MYO6	gene	773464	0.00042472	270
215	CPSF6	gene	770557	0.00042313	392
216	NDUFA13	gene	770482	0.00042309	265
217	SF3B5	gene	768347	0.00042191	236
218	ITCH	gene	765897	0.00042057	259
219	SNRNP40	gene	765848	0.00042054	244
220	CTR9	gene	764413	0.00041975	282
221	MRPL38	gene	759186	0.00041688	336
222	PICALM	gene	757108	0.00041574	251
223	FKBP1A	gene	755559	0.00041489	250
224	TPT1	gene	754624	0.00041438	323
225	TUBB2A	gene	754008	0.00041404	262
226	CSNK1E	gene	753996	0.00041403	241
227	AMBRA1	gene	751557	0.00041269	268
228	MRPL34	gene	751481	0.00041265	325
229	ENG	gene	751255	0.00041253	268
230	EXOSC10	gene	750539	0.00041213	297
231	COMMD1	gene	750038	0.00041186	219
232	UBC	gene	748194	0.00041085	244
233	KDM6A	gene	746440	0.00040988	280
234	SORT1	gene	745971	0.00040963	249
235	MED17	gene	745289	0.00040925	250
236	NCOA3	gene	744706	0.00040893	250
237	DLG1	gene	744427	0.00040878	199
238	NDUFB9	gene	743930	0.00040851	268
239	ATRX	gene	743755	0.00040841	256
240	TES	gene	743707	0.00040838	295
241	IFI35	gene	743544	0.00040829	359
242	PTGES3	gene	742521	0.00040773	268
243	PSMG1	gene	741760	0.00040731	312
244	TCF3	gene	738935	0.00040576	214
245	CCNT1	gene	737558	0.00040501	276
